internship_title,company_name,location,start_date,duration,stipend,sector_name,field_name,skills_set,detailed_description
Full Stack Developer,Booksiey Technologies Private Limited,Bangalore,Immediately,2 Months,"₹ 20,000 /month",IT and Software Development,Full Stack Web Development,"React, Node.js, JavaScript, REST APIs",Build and maintain scalable web applications at Booksiey Technologies Private Limited using modern full stack technologies. Work on both frontend user interfaces and backend database integrations to deliver seamless user experiences.
Graphic Design,SHRIDE INDIA PRIVATE LIMITED,Work From Home,Immediately,2 Months,"₹ 3,000 /month","Media, Entertainment & Education",Graphic Design & Visual Communication,"Adobe Photoshop, Adobe Illustrator, Visual Design, Typography",Create engaging visual assets and marketing materials for digital and print campaigns at SHRIDE INDIA PRIVATE LIMITED. Collaborate with the marketing team to maintain brand consistency across all creative outputs.
Video Making/Editing,Vexocore IT Services Private Limited,Work From Home,Immediately,2 Months,"₹ 4,000 /month",IT and Software Development,Video Production & Motion Graphics,"Adobe Premiere Pro, After Effects, Video Editing, Color Grading","Produce and edit high-quality promotional and educational videos for Vexocore IT Services Private Limited. Assist with post-production tasks, including motion graphics, audio balancing, and visual effects integration."
Fashion Design,Tanmay Garments,Delhi,Immediately,2 Months,"₹ 6,000-10,000 /month",Textile Manufacturing,Fashion Styling & Textile Design,"Apparel Design, Sketching, Textile Selection, Pattern Making","Assist the design team at Tanmay Garments in creating new apparel lines and seasonal collections. Participate in sketching designs, selecting fabrics, and coordinating garment production samples."
Content Writing,WriteSoft,Work From Home,Immediately,2 Months,"₹ 1,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Copywriting, SEO Writing, Content Strategy, Proofreading","Produce clear, engaging, and SEO-optimized written content for various platforms at WriteSoft. Research industry trends to develop compelling blog posts, articles, and marketing copy."
Civil Engineering,Easy Nirman,Raipur,Immediately,2 Months,"₹ 6,000 /month",Infrastructure & Construction,Civil Engineering & Structural Design,"AutoCAD, Site Supervision, Structural Analysis, Estimation","Support civil engineering projects at Easy Nirman through site inspections, drafting blueprints, and preparing cost estimates. Collaborate with senior engineers to ensure quality standards and project timelines are met."
Legal Associate,Thapasu Foods,Work From Home,Immediately,2 Months,"₹ 1,000 /month",Banking and Financial Services,Corporate Legal Affairs & Contract Management,"Legal Research, Contract Drafting, Compliance, Corporate Law",Assist the legal department at Thapasu Foods in drafting and reviewing corporate contracts and agreements. Conduct comprehensive legal research and ensure regulatory compliance across business operations.
Human Resources (HR),International Institute Of SDGs & Public Policy Research,Work From Home,Immediately,2 Months,Unpaid,"Media, Entertainment & Education",Human Resources (HR) & People Operations,"Talent Sourcing, Onboarding, HR Policies, Communication","Manage day-to-day HR operations and employee engagement activities at the International Institute Of SDGs & Public Policy Research. Assist with talent acquisition, onboarding processes, and maintaining organizational policies."
Human Resources (HR),Social Hathi India Private Limited,Work From Home,Immediately,2 Months,"₹ 3,000 /month",IT and Software Development,Human Resources (HR) & People Operations,"Recruiting, Employee Relations, HR Administration, Interviews","Handle end-to-end recruitment and human resource functions at Social Hathi India Private Limited. Screen resumes, coordinate interviews, and support internal employee development programs."
Social Media Marketing,Social Hathi India Private Limited,Work From Home,Immediately,2 Months,"₹ 3,000 /month",IT and Software Development,Digital Marketing & SEO/SEM,"Social Media Management, Content Creation, Campaign Analytics, Instagram Marketing",Plan and execute engaging social media campaigns across multiple channels for Social Hathi India Private Limited. Monitor performance metrics to optimize reach and audience engagement.
Graphic Design (T-shirt & Hoodie Design),Funky Unicorn Enterprises,Work From Home,Immediately,2 Months,"₹ 2,000-3,000 /month",Retail & Consumer Durables,Graphic Design & Visual Communication,"Adobe Illustrator, Vector Illustration, Apparel Graphics, Photoshop","Design creative graphics, prints, and illustrations specifically tailored for t-shirts and hoodies at Funky Unicorn Enterprises. Stay updated with current streetwear trends to produce commercially viable artwork."
Digital & Social Media Marketing,Funky Unicorn Enterprises,Work From Home,Immediately,2 Months,"₹ 2,500 /month +  Incentives",Retail & Consumer Durables,Digital Marketing & SEO/SEM,"Social Media Advertising, SEO, Email Marketing, Google Analytics","Drive online brand visibility and customer acquisition strategies for Funky Unicorn Enterprises across digital channels. Manage social media campaigns, analyze traffic data, and optimize conversion funnels."
Business Development (Sales),Wishlink,Gurgaon,Immediately,2 Months,"₹ 10,000-20,000 /month",Retail & Consumer Durables,B2B Sales & Key Account Management,"Lead Generation, Client Communication, Negotiation, Sales Strategy",Identify and cultivate new business opportunities and strategic partnerships for Wishlink. Pitch services to prospective clients and manage ongoing key account relationships.
HR Recruitment,Alexia Consulting Services LLP,Kolkata,Immediately,2 Months,"₹ 3,000 /month",Consulting Services,Talent Acquisition & Technical Recruitment,"Sourcing, Candidate Screening, LinkedIn Recruiting, Applicant Tracking Systems","Support client hiring needs by sourcing, screening, and interviewing candidates for various roles at Alexia Consulting Services LLP. Coordinate the recruitment lifecycle from initial outreach to final offer rollout."
UX/UI Design,Major Designs Private Limited,Work From Home,Immediately,2 Months,"₹ 8,000 /month",IT and Software Development,UI/UX & Product Design,"Figma, User Journey Mapping, Wireframing, Interaction Design",Design intuitive user interfaces and seamless user experiences for digital products at Major Designs Private Limited. Translate complex requirements into elegant wireframes and clickable prototypes.
Digital Marketing,Ashtak Incense,Work From Home,Immediately,2 Months,"₹ 1,000 lump sum +  Incentives",FMCG (Fast-Moving Consumer Goods),Digital Marketing & SEO/SEM,"Social Media Management, Content Marketing, Paid Advertising, Brand Awareness",Develop and implement digital marketing strategies to promote products for Ashtak Incense. Create compelling social media content and manage online advertising campaigns to boost brand visibility.
Sales,ITechOps Cloud Private Limited,Ahmedabad,Immediately,2 Months,"₹ 3,000-10,000 /month",IT and Software Development,B2B Sales & Key Account Management,"B2B Sales, Client Prospecting, CRM Management, Sales Pitching",Drive sales initiatives for cloud solutions at ITechOps Cloud Private Limited by identifying and engaging potential enterprise clients. Conduct product presentations and negotiate contract terms.
Trainee Recruitment,Webkorps Services India Pvt. LTD,Indore,Immediately,2 Months,"₹ 2,500 /month",IT and Software Development,Talent Acquisition & Technical Recruitment,"Technical Sourcing, Interview Coordination, Resume Screening, Recruitment Tools","Assist the HR team at Webkorps Services India Pvt. LTD in sourcing and hiring technical talent. Post job openings, screen applicant profiles, and schedule interviews with engineering leads."
Graphic Design,Woro Media LLP,Work From Home,Immediately,2 Months,"₹ 6,000-10,000 /month","Media, Entertainment & Education",Graphic Design & Visual Communication,"Adobe Creative Suite, Graphic Design, Branding, Layout Design",Design high-impact visual content and digital media assets for various campaigns at Woro Media LLP. Collaborate with the creative team to produce compelling graphics for diverse media platforms.
Graphic Design & Computer Operation,Pradhan,Mumbai,Immediately,2 Months,"₹ 5,000 /month","Media, Entertainment & Education",Graphic Design & Visual Communication,"Adobe Photoshop, Adobe Illustrator, Computer Operations",Create visual concepts and graphic assets for various projects using design software. Assist with general computer operations and digital content preparation.
Marketing & Communication,Watsan Envirotech Private Limited,Chennai,Immediately,2 Months,"₹ 10,000 /month","Infrastructure & Construction, Media, Entertainment & Education","Corporate Communications & Public Relations (PR), Digital Marketing & SEO/SEM","Marketing Communications, Content Writing, Social Media Management",Develop marketing and communication strategies to promote water and environmental technologies. Draft promotional materials and engage with target audiences.
Architecture,Life Changing Charitable Trust,Work From Home,Immediately,2 Months,Unpaid,"Media, Entertainment & Education",Architectural Drafting & Urban Planning,"AutoCAD, Architectural Design, Drafting","Assist in architectural planning, design drafting, and layout creation for trust-related infrastructural projects. Collaborate with team members on conceptual drawings."
Digital Marketing,Digital ROI,Pune,Immediately,2 Months,"₹ 10,000 /month",IT and Software Development,Digital Marketing & SEO/SEM,"SEO, Google Analytics, Social Media Advertising",Execute digital marketing campaigns to enhance client online presence. Monitor SEO metrics and optimize web content for better reach.
Video Making/Editing,Riddhi Gupta,Work From Home,Immediately,2 Months,"₹ 4,000-6,000 /month","Media, Entertainment & Education",Video Production & Motion Graphics,"Video Editing, Premiere Pro, After Effects","Shoot and edit raw video footage into engaging multimedia content. Add visual effects, color grading, and sound design to final cuts."
Content Writing,Brandoleads,Work From Home,Immediately,2 Months,"₹ 3,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Copywriting, SEO Writing, Editing","Write compelling articles, blogs, and marketing copy tailored for various target audiences. Proofread content to ensure high grammatical quality and brand alignment."
Social Media Marketing,SADRAG NGO,Work From Home,Immediately,2 Months,Unpaid,"Media, Entertainment & Education",Social Media & Community Management,"Social Media Marketing, Community Building, Content Creation",Manage organization social media channels by posting regular updates and interacting with followers. Run campaigns to raise awareness for NGO initiatives.
Social Research Data Collection,Calcutta Rescue,Kolkata,Not specified,2 Months,Unpaid,"Healthcare, Media, Entertainment & Education",Business Analytics & Market Research,"Data Collection, Survey Research, Data Entry",Conduct field research and collect qualitative and quantitative data for social welfare projects. Organize and clean collected datasets for analytical review.
Video Editing,Techzerry,Work From Home,Immediately,2 Months,"₹ 2,000 /month",IT and Software Development,Video Production & Motion Graphics,"Video Editing, Final Cut Pro, Motion Graphics","Edit promotional and technical videos for technology-focused campaigns. Cut clips, sync audio, and apply modern transitions."
Digital Marketing,HiteshKumar.com,Work From Home,Immediately,2 Months,"₹ 7,000 /month",IT and Software Development,Digital Marketing & SEO/SEM,"Digital Marketing, PPC, Email Marketing",Implement online marketing strategies to drive traffic and user engagement. Analyze campaign performance metrics to improve conversion rates.
YouTube Content Strategy And Business Development (Kannada),Soumya Bhimakkanavar (The Shorty Doowop),Work From Home,Immediately,2 Months,"₹ 3,500-4,000 /month","Media, Entertainment & Education","Content Strategy & Copywriting, Product Management","Content Strategy, Business Development, Kannada Proficiency","Develop YouTube content strategies targeted at Kannada-speaking audiences. Explore business growth opportunities, partnerships, and channel expansion."
E-commerce,Niharo Clothing,Work From Home,Immediately,2 Months,"₹ 3,000 /month","Retail & Consumer Durables, Textile Manufacturing",E-Commerce Operations & Catalog Management,"E-Commerce Management, Cataloging, Inventory Listing","Manage online store listings, product descriptions, and catalog updates for clothing lines. Coordinate order processing and digital storefront optimization."
Social Media & Content Management (Video Editing),MotorBhai Technologies,Work From Home,Immediately,2 Months,"₹ 4,000-5,000 /month","Automotive, IT and Software Development","Social Media & Community Management, Video Production & Motion Graphics","Video Editing, Content Management, Social Media",Create and edit video content related to automotive technology for social platforms. Manage content schedules and engage with the community.
Graphic Design,Ticket Factory,Hyderabad,Immediately,2 Months,"₹ 8,000 /month","Media, Entertainment & Education",Graphic Design & Visual Communication,"Adobe Photoshop, Illustrator, Visual Design","Design creative promotional materials, event graphics, and branding elements. Collaborate with marketing teams to produce eye-catching visuals."
Subject Matter Expert (Social Science Or Journalism),ISSRO (International Strategic Scholars Research Organization),Work From Home,Immediately,2 Months,"₹ 3,000-6,000 lump sum","Media, Entertainment & Education",Journalism & Mass Media Production,"Subject Matter Expertise, Research, Journalism","Research and write scholarly or journalistic articles in the field of social science. Review content for accuracy, quality, and academic rigor."
Graphic Design & Video Editing,Skillsify,Work From Home,Immediately,2 Months,"₹ 4,000-7,000 /month","Media, Entertainment & Education","Graphic Design & Visual Communication, Video Production & Motion Graphics","Graphic Design, Video Editing, Creative Suite",Produce combined graphic design and video editing assets for educational and promotional content. Ensure consistent visual branding across all deliverables.
Lead Generation (LinkedIn),Leapfrog Consultancy,Work From Home,Immediately,2 Months,"₹ 3,000-6,000 /month",Consulting Services,B2B Sales & Key Account Management,"LinkedIn Lead Generation, Prospecting, B2B Sales",Identify and qualify potential business clients using LinkedIn and other networking tools. Build and maintain robust prospect pipelines for consultancy services.
News Desk &Social Media Management,PoliCharcha.com,Work From Home,Immediately,2 Months,"₹ 2,000 /month","Media, Entertainment & Education","Journalism & Mass Media Production, Social Media & Community Management","News Writing, Social Media Management, Journalism",Curate and write news desk stories for digital publication. Manage social media distribution channels to maximize readership and engagement.
Graphic Design,Starting Core,Work From Home,Immediately,2 Months,"₹ 2,000-5,000 /month",IT and Software Development,Graphic Design & Visual Communication,"Photoshop, CorelDRAW, Creativity","Design digital graphics, banners, and layouts for various web and print applications. Translate project requirements into creative visual assets."
Graphic Design,Peekaboo,Work From Home,Immediately,2 Months,"₹ 1,000-2,000 /month","Media, Entertainment & Education",Graphic Design & Visual Communication,"Graphic Design, UI Design, Visual Arts","Develop striking visuals, branding collateral, and marketing assets. Work closely with teams to deliver high-quality graphic solutions on schedule."
Social Media Marketing,CareerNaksha,Vadodara,Immediately,2 Months,"₹ 2,000 /month +  Incentives","Media, Entertainment & Education, Consulting Services","Social Media & Community Management, Digital Marketing & SEO/SEM","Social Media Marketing, Content Creation, Analytics","As a Social Media Marketing intern at CareerNaksha, you will assist in planning and executing social media campaigns across various platforms. Your day-to-day responsibilities will include creating engaging content, scheduling posts, and analyzing audience engagement metrics to improve brand reach."
WordPress Development,Skygoal Tech,Hyderabad,Immediately,2 Months,"₹ 4,000 /month","IT and Software Development, Global Capability Centres (GCCs)","Full Stack Web Development, Software Engineering","WordPress, HTML/CSS, PHP","As a WordPress Development intern at Skygoal Tech, you will help design, build, and maintain client websites using the WordPress platform. Your daily tasks will involve customizing themes, troubleshooting bugs, and ensuring optimal website performance and responsiveness."
Administration & Social Media,YBC FC,Delhi,Immediately,2 Months,"₹ 5,000 /month +  Incentives","Sports, Media, Entertainment & Education","Social Media & Community Management, Operations & Process Excellence (Six Sigma)","Administrative Support, Social Media Management, Communication","As an Administration & Social Media intern at YBC FC, you will manage day-to-day office coordination while also handling social channels to promote sports events. Responsibilities include organizing internal documents, interacting with community followers, and supporting promotional campaigns."
Social Media Marketing,VIEZ,Work From Home,Immediately,2 Months,"₹ 1,000 /month","Media, Entertainment & Education, Retail & Consumer Durables","Social Media & Community Management, Digital Marketing & SEO/SEM","Social Media Management, Copywriting, Campaign Strategy","As a Social Media Marketing intern at VIEZ, you will drive engagement by creating innovative content strategies for various social channels. You will monitor trends, engage with followers, and track campaign performance metrics regularly."
Content Writing,Arnav Gupta,Work From Home,Immediately,2 Months,"₹ 2,000-3,000 /month","Media, Entertainment & Education, Consulting Services","Content Strategy & Copywriting, Journalism & Mass Media Production","Copywriting, Editing, SEO Writing","As a Content Writing intern under Arnav Gupta, you will produce high-quality written material for blogs, articles, and digital platforms. Your daily duties include researching target topics, drafting clear copy, and editing content for clarity and style."
Digital Marketing,Global Honey Bee,Noida,Immediately,2 Months,"₹ 4,000-10,000 /month","Media, Entertainment & Education, Retail & Consumer Durables","Digital Marketing & SEO/SEM, Social Media & Community Management","SEO, Google Analytics, Pc Ads","As a Digital Marketing intern at Global Honey Bee, you will support online marketing campaigns to increase brand visibility. You will assist in executing SEO strategies, managing paid ads, and generating traffic reports."
Business Development (Sales),MFolks Incorporation,Delhi,Immediately,2 Months,"₹ 5,000-10,000 /month","Consulting Services, Retail & Consumer Durables","B2B Sales & Key Account Management, Client Relationship Management (CRM)","Lead Generation, Negotiation, Sales Communication","As a Business Development intern at MFolks Incorporation, you will identify new business opportunities and engage prospective clients. Responsibilities include making sales pitches, nurturing customer relationships, and helping meet company revenue targets."
Human Resources (HR),Best IT Quest Private Limited,Work From Home,Immediately,2 Months,"₹ 6,000-8,000 /month","IT and Software Development, Global Capability Centres (GCCs)","Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","Recruitment, Onboarding, HR Administration","As a Human Resources intern at Best IT Quest Private Limited, you will assist the HR team in sourcing, screening, and scheduling candidates for interviews. You will also help manage employee records and support onboarding processes."
Graphic Design,JUNOON KIDS TV,Work From Home,Immediately,2 Months,"₹ 5,000 /month","Media, Entertainment & Education","Graphic Design & Visual Communication, UI/UX & Product Design","Adobe Photoshop, Illustrator, Visual Design","As a Graphic Design intern at JUNOON KIDS TV, you will create visually appealing graphics and illustrations tailored for children's media content. Your daily tasks include designing promotional banners, character assets, and social media visuals."
Field Sales,DepoMatic,Indore,Immediately,2 Months,"₹ 2,000 /month +  Incentives","Logistics & Supply Chain, Retail & Consumer Durables","B2B Sales & Key Account Management, Operations & Process Excellence (Six Sigma)","Field Sales, Client Interaction, Negotiation","As a Field Sales intern at DepoMatic, you will visit potential clients on-site to demonstrate products and services. Responsibilities include generating leads, closing field deals, and maintaining accurate logs of customer interactions."
Digital Marketing,Parthavi  Yadav,Work From Home,Immediately,2 Months,"₹ 2,000 /month","Media, Entertainment & Education, Consulting Services","Digital Marketing & SEO/SEM, Social Media & Community Management","Digital Marketing, Social Media Management, SEO Basics","As a Digital Marketing intern under Parthavi Yadav, you will assist in executing online marketing campaigns to build digital presence. You will help with social media scheduling, content promotion, and performance tracking."
Graphic Design,Relishta Private Limited,Work From Home,Immediately,2 Months,"₹ 3,000 /month","Retail & Consumer Durables, Media, Entertainment & Education","Graphic Design & Visual Communication, UI/UX & Product Design","Photoshop, CorelDRAW, Creative Design","As a Graphic Design intern at Relishta Private Limited, you will design marketing collateral, digital ads, and branding materials. You will collaborate with the marketing team to brainstorm creative visuals that align with campaign goals."
Digital Marketing,Jorden & Sky Advisor,Thane,Immediately,2 Months,"₹ 10,000 /month","Banking and Financial Services, Consulting Services","Digital Marketing & SEO/SEM, Business Analytics & Market Research","Digital Marketing, Lead Generation, Content Marketing","As a Digital Marketing intern at Jorden & Sky Advisor, you will help promote financial advisory services through targeted online campaigns. Responsibilities include managing SEO initiatives, drafting advisory content, and tracking client outreach metrics."
Chartered Accountancy (CA),SUMAN KUMAR AGARWAL & ASSOCIATES,Kolkata,Immediately,2 Months,"₹ 7,500-10,000 /month","Banking and Financial Services, Finance","Auditing & Taxation, Company Secretarial & Corporate Compliance","Accounting, Auditing, Taxation","As a Chartered Accountancy intern at SUMAN KUMAR AGARWAL & ASSOCIATES, you will assist senior accountants with auditing financial statements and preparing tax returns. Your daily work involves ledger scrutiny, voucher verification, and compliance checking."
Interior Design,OCulture,Gurgaon,Immediately,2 Months,"₹ 10,000 /month","Housing, Infrastructure & Construction","Interior & Spatial Design, Architectural Drafting & Urban Planning","AutoCAD, 3D Modeling, Interior Design","As an Interior Design intern at OCulture, you will support senior designers in conceptualizing space layouts and material selections. You will prepare 2D drawings, 3D renderings, and mood boards for client presentations."
Graphic Design,Social Voyage,Work From Home,Immediately,2 Months,"₹ 4,000-7,000 /month","Travel & Hospitality, Media, Entertainment & Education","Graphic Design & Visual Communication, Social Media & Community Management","Graphic Design, Adobe Creative Suite, Visual Storytelling","As a Graphic Design intern at Social Voyage, you will create visually engaging travel and lifestyle content for digital platforms. Responsibilities include designing itinerary graphics, social media templates, and promotional posters."
Data Engineering/Big Data Development & Testing,Blismos Solutions Private Limited,Bangalore,Immediately,2 Months,"₹ 5,000 /month","IT and Software Development, Global Capability Centres (GCCs)","Database Administration & Big Data, Software Engineering","Hadoop, Big Data Testing, SQL","As a Data Engineering/Big Data Development & Testing intern at Blismos Solutions Private Limited, you will assist in building and validating large-scale data pipelines. You will write scripts to test data quality, debug transformation errors, and optimize queries."
Search Engine Optimization (SEO),NexGen Innovators IT Services Private Limited,Delhi,Immediately,2 Months,"₹ 5,000 /month","IT and Software Development, Consulting Services","Digital Marketing & SEO/SEM, Full Stack Web Development","SEO, Keyword Research, Google Analytics","As a Search Engine Optimization (SEO) intern at NexGen Innovators IT Services Private Limited, you will optimize website content and structure to improve search rankings. You will conduct keyword research, analyze competitor sites, and monitor traffic growth."
Operations,Truecaller,Gurgaon,Immediately,2 Months,"₹ 30,000 /month","IT and Software Development, Telecom","Operations & Process Excellence (Six Sigma), Project & Program Management","Process Optimization, Data Analysis, Operations Management","As an Operations intern at Truecaller, you will help streamline internal operational workflows and support process improvement initiatives. Duties include analyzing operational metrics, managing communication logs, and coordinating cross-functional projects."
Human Resources (HR),Liveasy,Work From Home,Immediately,2 Months,"₹ 1,000 /month","IT and Software Development, Global Capability Centres (GCCs)","Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","Talent Acquisition, Candidate Screening, HR Operations","As a Human Resources (HR) intern at Liveasy, you will assist with day-to-day HR operations, including resume screening and interview scheduling. You will also help organize employee engagement activities and maintain personnel files."
Human Resources (HR),India Business Ventures,Jaipur,Immediately,2 Months,"₹ 3,000 /month",Consulting Services,Human Resources (HR) & People Operations,"Recruitment, Communication, HR Administration, Onboarding","Assist the HR team with daily administrative tasks, coordinate candidate interviews, and help manage employee onboarding processes. Maintain employee records and support internal communication initiatives."
Business Development (Sales),Code Brackets Software Solutions Private Limited,Kolkata,Immediately,2 Months,"₹ 5,000 /month",IT and Software Development,B2B Sales & Key Account Management,"Lead Generation, Client Communication, Sales Pitching, CRM","Identify and reach out to potential software clients, pitch company services, and generate new sales leads. Collaborate with the sales team to close deals and maintain ongoing client relationships."
Flutter Development,Magicbox Animation Private Limited,Chennai,Immediately,2 Months,"₹ 10,000 /month","Media, Entertainment & Education, IT and Software Development",Mobile Application Development,"Flutter, Dart, Mobile App Development, UI Integration",Develop and maintain cross-platform mobile applications using Flutter and Dart. Collaborate with designers to implement engaging user interfaces and ensure smooth app performance.
UX/UI Design,WEBYAPAR SOLUTIONS PVT. LTD.,Work From Home,Immediately,2 Months,"₹ 10,000-15,000 /month",IT and Software Development,UI/UX & Product Design,"Figma, Wireframing, Prototyping, User Research",Design user-centric interfaces and interactive prototypes for web and mobile platforms using Figma. Conduct user research and translate insights into intuitive user experiences.
Human Resources (HR),Beeco Life,Work From Home,Immediately,2 Months,"₹ 1,000-2,000 /month",Healthcare,Human Resources (HR) & People Operations,"Talent Sourcing, Employee Relations, HR Operations, Screening","Support the recruitment lifecycle by sourcing candidates, screening resumes, and scheduling interviews. Help manage employee engagement activities and internal HR documentation."
Event Assistance,Digi Upaay Solutions,Hyderabad,Immediately,2 Months,"₹ 15,000 /month",Consulting Services,Event Management & Public Relations,"Event Planning, Vendor Coordination, Logistics, Communication","Assist in planning and executing corporate and digital events, coordinating with vendors, and managing on-site logistics. Ensure smooth event operations and participant engagement."
Content Creation (Culinary),KMCS Digital,Work From Home,Immediately,2 Months,"₹ 2,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Culinary Writing, Content Creation, Social Media, Copywriting","Create engaging culinary-focused content, including recipes, blog posts, and social media captions. Research food trends and collaborate with the media team to produce appealing digital content."
Graphic Design,OF10,Mumbai,Immediately,2 Months,"₹ 10,000-12,000 /month",Consulting Services,Graphic Design & Visual Communication,"Adobe Photoshop, Illustrator, Visual Design, Branding","Design creative marketing collateral, social media graphics, and brand assets using Adobe Creative Suite. Collaborate with the marketing team to maintain visual consistency across all channels."
Program Managment,MyCaptain - The Climber,Work From Home,Immediately,2 Months,"₹ 5,000 /month","Media, Entertainment & Education",Project & Program Management,"Project Coordination, Task Management, Agile Methodology, Communication","Oversee educational programs and projects, tracking milestones, timelines, and deliverables. Coordinate cross-functional teams to ensure smooth program execution and participant success."
Graphic Design,Eyantram Waste Management Private Limited,Kolkata,Immediately,2 Months,"₹ 5,000-8,000 /month","Media, Entertainment & Education",Graphic Design & Visual Communication,"Graphic Design, Sustainability Awareness, Canva, Adobe Creative Suite","Design awareness campaigns, infographics, and promotional materials related to waste management and sustainability. Translate complex environmental concepts into visually engaging designs."
IO Psychology,Grappus,Gurgaon,Immediately,2 Months,"₹ 20,000 /month",Consulting Services,Human Resources (HR) & People Operations,"Industrial Psychology, Employee Assessment, Research, Organizational Behavior","Apply industrial-organizational psychology principles to workplace assessments, employee well-being surveys, and team building initiatives. Analyze data to recommend organizational improvements."
Instagram Marketing,Pawzz,Work From Home,Immediately,2 Months,"₹ 2,000-10,000 /month",Retail & Consumer Durables,Digital Marketing & SEO/SEM,"Instagram Marketing, Social Media Management, Content Creation, Analytics","Manage the company's Instagram account, plan content calendars, and design engaging posts and stories. Monitor social media metrics to optimize audience growth and engagement."
Market Research,Pawzz,Work From Home,Immediately,2 Months,Unpaid,Retail & Consumer Durables,Business Analytics & Market Research,"Market Research, Data Analysis, Competitor Analysis, Surveys",Conduct market research and competitor analysis within the pet care and consumer goods industry. Gather and analyze consumer data to support strategic business decisions.
Coding And Robotics,Amazeheads LLP,Mumbai,Immediately,6 Months,"₹ 8,000-15,000 /month","Media, Entertainment & Education, IT and Software Development",Industrial Automation & Robotics,"Coding, Robotics, STEM Education, Problem Solving",Teach and assist students in coding fundamentals and robotics principles through interactive workshops. Develop curriculum materials and guide hands-on hardware and software projects.
Social Media Marketing (Influencing),Blackcoffer,Work From Home,Immediately,6 Months,"₹ 2,000 /month",Consulting Services,Social Media & Community Management,"Influencer Marketing, Social Media Outreach, Brand Promotion, Networking",Identify and partner with potential influencers to promote brand initiatives across social platforms. Coordinate influencer campaigns and track campaign performance metrics.
Content Marketing,Blackcoffer,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Consulting Services,Digital Marketing & SEO/SEM,"Content Marketing, SEO Writing, Blog Management, Copywriting","Write and edit SEO-optimized articles, blogs, and marketing copy to drive organic traffic. Develop content marketing strategies and analyze performance to maximize reach."
PHP Development,OyeLabs,Work From Home,Immediately,6 Months,"₹ 5,000-10,000 /month",IT and Software Development,Full Stack Web Development,"PHP, MySQL, Backend Development, Web Applications","Develop and maintain robust web applications and backend services using PHP and MySQL. Troubleshoot bugs, optimize database queries, and collaborate on feature rollouts."
Project coordination,OyeLabs,Work From Home,Immediately,6 Months,"₹ 5,000-10,000 /month",IT and Software Development,Project & Program Management,"Project Coordination, Task Tracking, Agile, Team Communication",Coordinate tasks between software development and design teams to ensure project milestones are met on time. Maintain project documentation and track progress using agile tools.
Content Writing,OyeLabs,Work From Home,Immediately,6 Months,"₹ 5,000-10,000 /month",IT and Software Development,Content Strategy & Copywriting,"Content Writing, Copywriting, Technical Writing, Editing","Draft clear and engaging content for software documentation, website pages, and marketing campaigns. Proofread materials to maintain high editorial standards across all company outputs."
Operations,EEW Learning Solutions LLP,Delhi,Immediately,6 Months,"₹ 7,500 /month","Media, Entertainment & Education",Operations & Process Excellence (Six Sigma),"Operations Management, Process Optimization, Administrative Support, Workflow Planning","Streamline day-to-day educational operations, manage logistics, and optimize internal workflows. Collaborate with management to implement process improvements and support smooth program delivery."
Finance & Accounts,SaaS Labs Incorporation,Work From Home,Immediately,6 Months,"₹ 20,000-25,000 /month","IT and Software Development, Banking and Financial Services","Corporate Finance & Treasury, Auditing & Taxation","Financial Accounting, Bookkeeping, Excel, Reconciliation","Assisting the finance team at SaaS Labs with day-to-day bookkeeping, expense tracking, and account reconciliations. Preparing financial reports and maintaining accurate records of transactions to support corporate finance operations."
E-commerce Operations,Kalaaai Studio,Jaipur,Immediately,6 Months,"₹ 3,000-10,000 /month",Retail & Consumer Durables,"E-Commerce Operations & Catalog Management, Merchandising & Category Management","E-commerce, Inventory Management, Order Processing, Cataloging","Managing daily online store operations for Kalaaai Studio, including product listing updates, inventory tracking, and order fulfillment coordination. Ensuring smooth customer experience and maintaining accurate catalog data across platforms."
Translation/Transcription/Recording,SPInfinity Languages,Work From Home,Immediately,6 Months,"₹ 1,000 /month +  Incentives","Media, Entertainment & Education","Journalism & Mass Media Production, Content Strategy & Copywriting","Translation, Transcription, Audio Recording, Linguistic Accuracy","Handling audio and text translation, accurate transcription of various files, and high-quality voice recording for SPInfinity Languages. Reviewing linguistic materials to ensure context and meaning are properly preserved across languages."
Business Development (Sales),Tulot Tech Labs,Work From Home,Immediately,6 Months,"₹ 5,000 /month",IT and Software Development,"B2B Sales & Key Account Management, Client Relationship Management (CRM)","Lead Generation, Cold Calling, Sales Pitching, CRM Software","Driving business growth at Tulot Tech Labs by identifying prospective clients, generating leads, and pitching technology solutions. Managing CRM records and following up with potential customers to close sales deals."
Administration & Communications Coordination,Faculty Minds,Mumbai,Immediately,6 Months,"₹ 5,000 /month","Media, Entertainment & Education","Human Resources (HR) & People Operations, Corporate Communications & Public Relations (PR)","Administrative Support, Corporate Communications, Scheduling, Coordination","Managing day-to-day administrative tasks, coordinating communications across departments, and organizing schedules at Faculty Minds. Ensuring smooth internal operations and facilitating effective correspondence with stakeholders."
